id,franchise_name,name,image_file_name,image_content_type,image_file_size,image_updated_at,is_new,active_ingredient,description,position,seo_url,active,created_at,updated_at,size,code,upc,collection,price,locale_id,product_category_id,origins_prodid
15,Clear Improvement™,Purifying charcoal body wash,,,,,,,"Lather up and let Bamboo Charcoal help deep clean daily build up, dirt and debris. While the minty-fresh aroma of Clove and Wintergreen leaves you invigorated. With a crisp, clean sensation. Skin feels perfectly pure, totally refreshed.",,,1,,,200ml,0LK3010000,717334202009,,19,2,,36379
16,Dr. Andrew Weil for Origins™,Mega-Bright Dark Circle Minimizer ,,,,,,,"Rapidly and visibly helps delete darkness, diffuse puffiness and strengthen fragile eye skin to help prevent future discolourations from circling back. Eyes instantly look brighter, more radiant and rested.",,,1,,,15ml,0N5K010000,717334215115,,32,2,9,40849
17,Dr. Andrew Weil for Origins™,Mega-Bright Dark spot correcting night mask,,,,,,,"Help to sleep off dark spots with our luxuriously rich night mask. Dr. Weil’s potent skin-brightening blend of Vitamin-C rich Rosa roxburghii plus Mulberry, White Peony, Chestnut Seed Extract and powerful hydrators dramatically helps boost resilience, visibly reverse skin tone damage, revive translucency and fade dark spots. Skin awakens radiant, refreshed and Mega-Bright.
",,,1,,,75ml,0N5M010000,717334215139,,48,2,7,40850
19,Dr. Andrew Weil for Origins™,Mega-Bright Dark Spot Correcting Serum,,,,,,,"Go to the light. This highly concentrated serum is fortified with Dr. Weil’s natural light-infusing complex including Rosa roxburghii, White Peony and Licorice. It helps visibly reduce dark spots and correct skin tone. Dull discolored skin begins to return to the light, appears more translucent and luminous. It’s spot on for turning spots off.
",,,1,,,50ml,0M63010000,717334207011,,56,2,8,40851
20,Dr. Andrew Weil for Origins™,Mega-Bright Skin Illuminating Cleanser ,,,,,,,"This refreshing, foaming cleanser with Dr. Weil's natural light-infusing complex gently purifies skin and melts dulling, potentially discolouring dirt and debris. Skin is perfectly prepared for brightening treatments to follow.",,,1,,,150ml,0N5F010000,717334215078,,27.5,2,19,40846
21,Dr. Andrew Weil for Origins™,Mega-Bright Skin illuminating treatment lotion,,,,,,,"This light-filled lotion begins skin's transformation to illumination. Dr. Andrew Weil for Origins™ light-infusing Mega-Bright complex plus special hydrators help restore moisture balance to gently reveal a light-filled complexion.
",,,1,,,200ml,0N5G010000,717334215085,,27.5,2,,41172
22,Dr. Andrew Weil for Origins™,Mega-Bright SPF 30 Oil Free Moisturizer,,,,,,,"This oil-free moisturiser with Rosa roxburghii and White Peony plus melanin-inhibiting Palmaria visibly helps diminish dark spots and discolourations while restoring clarity and brightness to dull, uneven skin. SPF 30 helps to block UV damage and helps prevent future spots from forming. Leaves skin luminous.",,,1,,,50ml,0N5J010000,717334215108,,40,2,11,40848
23,Dr. Andrew Weil for Origins™,Mega-Defense Barrier-Boosting Essence Oil,,,,,,,"This lightweight, ultra-penetrating essence oil contains Lady’s Thistle Extract, a potent anti-irritant and antioxidant. It helps boost skins barrier while you sleep to help protect it against environmental assaults that can damage and age skin.",,,1,,,30ml,0M5G010000,717334206816,,39,2,13,39259
24,Dr. Andrew Weil for Origins™,Mega-Defense Advanced Daily UV Defender SPF 45,,,,,,,"Our featherweight UV Defender is formulated with skin-strengthening Opuntia Cactus Extract. More than just a sunscreen, it also creates a moisture barrier to boost skin’s resilience. This helps prevent the daily damage caused by pollution and other irritants. Plus it’s our first 100% non-chemical sunscreen. Meaning it’s gentle on skin, not just the environment.",,,1,,,30ml,0M5H01A000,717334206823,,30,2,,39025
25,Dr. Andrew Weil for Origins™,Mega-Mushroom Advanced Skin Relief Face Serum ,,,,,,,"This potent serum is fortified with Sea Buckthorn plus skin-repairing Reishi, irritant-soothing Chaga and Cordyceps mushrooms, long used in Chinese medicine to heal, promote longevity and improve health. Used faithfully, skin is transformed from reactive to resilient and from stressed to soothed to reveal a healthier, more radiant appearance.",,,1,,,30ml,0L7J010000,717334196841,,50,2,8,31157
26,Dr. Andrew Weil for Origins™,Mega-Mushroom Advanced Skin Relief Face Serum,,,,,,,"This potent serum is fortified with Sea Buckthorn plus skin-repairing Reishi, irritant-soothing Chaga and Cordyceps mushrooms, long used in Chinese medicine to heal, promote longevity and improve health. Used faithfully, skin is transformed from reactive to resilient and from stressed to soothed to reveal a healthier, more radiant appearance.",,,1,,,50ml,0L7K010000,717334196858,,64,2,8,31157
27,Dr. Andrew Weil for Origins™,Mega-Mushroom Skin Relief Eye Serum,,,,,,,"This lightweight, moisturising eye serum calms the sensitive eye area. It features Dr. Weil’s signature Mega-Mushroom blend plus Ginger, Turmeric and Holy Basil. Quells over-reactive skin and reduces the appearance of under eye puffiness while Yeast Extract helps visibly diminish dark circles.",,,1,,,15ml,0L7W010000,717334196926,,42,2,9,31161
28,Dr. Andrew Weil for Origins™,Mega-Mushroom Skin Relief Face Cleanser,,,,,,,"This ultra-gentle, milky lotion cleanser is formulated with Cordyceps and Reishi Mushrooms, Ginger, Turmeric and Holy Basil, as well as skin-soothing Liquorice Extract. It quickly removes makeup, dirt, debris and impurities without upsetting skin's naturally protective lipid balance. Even highly sensitive skin stays calm as you cleanse.",,,1,,,150ml,0L7R010000,717334196902,,27.5,2,19,31154
29,Dr. Andrew Weil for Origins™,Mega-Mushroom Skin relief face mask,,,,,,,"This creamy treatment mask with Cordyceps and Reishi Mushrooms plus Ginger, Holy Basil and Turmeric instantly reduces visible redness, blotchiness and reactivity. And a unique blend of Marine Algae and moisture-replenishing plant extracts helps revitalise and restore luminosity to stressed skin and rebuild a protective barrier to help avoid future flare-ups. Leaves skin calm and comforted.",,,1,,,100ml,0L7T010000,717334196919,,37,2,7,31156
30,Dr. Andrew Weil for Origins™,Mega-Mushroom Skin Relief Micellar Cleanser,,,,,,,"Wash away everything you know about cleansing. Our miraculous no-rinse, soap and alcohol free formula gently removes dirt, makeup and pollutants. It’s fortified with Dr. Weil’s signature skin-soothing Mega-Mushroom blend plus antioxidant-rich Berry Ferment. This potent formula helps support skin’s resilience against environmental irritants. Skin feels totally refreshed, silky soft and completely, comfortably clean. Never irritated.",,,1,,,200ml,0MM6010000,717334211117,,27.5,2,19,37561
31,Dr. Andrew Weil for Origins™,Mega-Mushroom Skin Relief Soothing Face Lotion,,,,,,,Instantly calms skin with this lightweight face lotion. It's formulated with soothing Reishi and Cordyceps Mushrooms. Visibly reduces redness and sensitivity now and in the future.,,,1,,,50ml,0L7N010000,717334196889,,50,2,11,31162
32,Dr. Andrew Weil for Origins™,Mega-Mushroom Skin Relief Soothing Treatment Lotion,,,,,,,"This extra-light treatment lotion features Dr. Andrew Weil's famed Mega-Mushroom blend. It helps soothe, comfort and hydrate skin so it looks and feels healthier, more supple and refreshed. Great for sensitive and reactive skin. This product contains natural ingredients which may settle. For best results, shake well before use.",,,1,,,200ml,0L7P010000,717334196896,,27.5,2,10,31155
33,Dr. Andrew Weil for Origins™,Mega-Mushroom Soothing Face Cream,,,,,,,This remarkable hydrating cream instantly calms skin. It's formualted with Dr. Weil's signature Mushroom blend. Visibly reduces redness and sensitivity. Great for sensitive and reactive skin.,,,1,,,50ml,0L7M010000,717334196872,,50,2,11,31163
34,Drink Up®,10 minute mask to quench skin's thirst,,,,,,,"Give thirsty skin a drink. Algae Extracts deliver an extra helping of hydration whilst emollient-rich Apricot Kernel Oil smoothes and softens dry, dehydrated skin. Moisture levels are instantly boosted. Skin feels happily hydrated, comfortable.",,,1,,,100ml,00FF010000,717334040601,,24,2,7,10497
35,Drink Up®,Intensive Overnight mask to quench skin's thirst,,,,,,,"Put dry skin to bed with this ultra-rich, hydrating overnight mask. Avocado and Apricot Kernel Oils deeply and instantly quench compromised moisture reserves and help build a reservoir for tomorrow. While Japanese Seaweed helps repair skin's barrier to prevent future dehydration and signs of premature ageing. Skin awakens comfortable, refreshed, supple.
",,,1,,,100ml,0GGG010000,717334151000,,24,2,7,11647
36,Easy Slider™,Pre-shave oil,,,,,,," This lightweight, pre-shave oil with Sesame and Organic Jojoba Oils softens stubble for a fast, friction-free shave. Also helps bolster skin to help reduce nicks, razor burn and promote natural healing. Plus the crisp, clean scent of Sage, Sandalwood, Eucalyptus and Peppermint leaves you feeling awake and fresh. For use with blade shavers only, not electric shavers.",,,1,,,50ml,095H010000,717334105379,,20,2,14,11670
37,Eye Doctor®,Moisture care for skin around eyes,,,,,,," When fragile skin around eyes shows crinkly dry lines and other unsightly flaws, a twice-daily dose of botanicals is just what the ""Doctor"" ordered to help them disappear. Formulated with cooling Cucumber, soothing Rosemary and energising Ginseng, helps counter crow's feet, de-pouf puffs and fade dark shadows. Plus Green Tea Extract helps fight off free radical damage. Shows perfect bedside manners, night or day, under makeup or alone. Ophthalmologist tested.",,,1,,,15ml,722B010000,717334017788,,30,2,9,11247
38,Fire Fighter®,To take the burn out of shaving,,,,,,,"The perfect shave often leaves even the toughest skin feeling on fire. Soothing Chamomile, Cucumber and Winterbloom help leave razor-scraped skin feeling cool, calm and totally comfortable. Without stinging. And refreshing Eucalyptus plus tingly Peppermint invigorate to give you a burst of get-up-and-go.",,,1,,,50ml,0AJX010000,717334117068,,20,2,16,10405
39,GinZing™,Energy-boosting moisturiser,,,,,,,"This lightweight, oil-free, energising moisturiser instantly hydrates and revs up radiance. It's fortified with legendary skin-boosters like Panax Ginseng and Coffee Bean. Lackluster-looking skin is rapidly refreshed and revitalised to create a healthy, vibrant glow",,,1,,,50ml,0KWP010000,717334192454,,24,2,11,26237
40,GinZing™,Energy-boosting treatment lotion mist,,,,,,,"Instantly helps infuse skin with vital radiance and energy, whilst gently sweeps away dulling flakes to smooth skin. Delivering a fine mist of comforting hydration.",,,1,,,150ml,0N3L010000,717334214491,,18,2,10,40234
41,GinZing™,Peel-off mask to refine and refresh,,,,,,,"Our refreshing peel-off mask is fortified with Coffee Beans, this product helps to lift away stubborn dead skin cells, dirt and debris to smooth and refine. Boosting skin’s glow!",,,1,,,75ml,0NA9010000,717334216839,,24,2,7,40235
42,GinZing™,Refreshing eye cream to brighten and depuff,,,,,,,"Late night? Long flight? Look tired all the time? Our clinically-proven morning-after eye cream instantly reduces dark circles. Unsightly bags and puffiness can virtually disappear. It's formulated with Coffee Beans, Panax Ginseng, Magnolia Extract and natural optic brighteners. Rapidly wakes up, refreshes and restores radiance to tired eyes.",,,1,,,15ml,0GGM010000,717334151079,,20,2,9,11641
43,GinZing™,Refreshing Scrub Cleanser,,,,,,,"2 in 1 scrubby cleanser fortified with radiance-boosting Panax Ginseng and energising Coffee Beans. Natural Jojoba and Carnauba Wax gently exfoliate to help unclog pores. Skin looks smoother, brighter. Feels perfectly refreshed. Plus, uplifting aroma of Grapefruit, Lemon and Spearmint perks you up so you're ready to face the day!",,,1,,,150ml,0L1Y010000,717334194014,,15,2,19,30006
44,High-Potency Night-A-Mins™,Mineral-enriched oil-free renewal cream,,,,,,,"Put dullness to rest. Our famous night cream is fortified with time-released resurfacers plus Vitamins C, E and H, minerals and moisture-rich replenishers. While relaxing aromas lull you to sleep, skin sloughs away dry, dead layers. Helps deletes dullness overnight so you wake up radiant and refreshed.",,,1,,,50ml,0J0X010000,717334167735,,35,2,12,18758
45,High-Potency Night-A-Mins™,Mineral-enriched renewal cream,,,,,,," Put dullness to rest. Our famous night cream is fortified with time-released resurfacers plus Vitamins C, E and H, minerals and moisture-rich replenishers. While relaxing aromas lull you to sleep, skin sloughs away dry, dead layers. Deletes dullness overnight so you wake up radiant and refreshed.",,,1,,,50ml,0J0W010000,717334167728,,35,2,12,18757
46,High-Potency Night-A-Mins™,Skin refining oil,,,,,,,"Delete dullness overnight with our amazing sleeping peel. First, the relaxing aromas of Neroli Valerian and Vanilla lull you into sweet sleep. Meanwhile, potent skin resurfacers plus Vitamins C and E cushioned in 8 silky plant oils including Cranberry Seed, Sage and Pomegranate release dull, dead surface cells. Radiance is restored. Skin awakens smoother, rehydrated and vibrant.",,,1,,,30ml,0LXM010000,717334204713,,35,2,13,36067
47,Lip Remedy™,Soothing lip saver,,,,,,,"A saviour for chapped lips. Menthol and Camphor soothe, comfort and desensitize cracked, sore lips and relieve dryness and roughness. Within minutes, lips look and feel like new. Plus, sets up an invisible protective barrier that lasts to help defend against harmful elements.",,,1,,,15ml,0H8F010000,717334158740,,15,2,,12971
49,Make A Difference™,Plus Rejuvenating serum,,,,,,,"This intensive serum with self-hydrating Rose of Jericho instantly helps repair skin's barrier, reinforces skin's own moisture-making ability and replenishes critical moisture to help prevent age-accelerating dehydration. Skin stays refreshed, resilient and radiant.",,,1,,,50ml,0KHL010000,717334188211,,50,2,8,27730
50,Make A Difference™,Night Overnight hydrating repair cream,,,,,,," At night, skin loses more moisture and its barrier is more vulnerable. Our ultra-rich overnight cream is fortified with Rose of Jericho plus Lychee, Watermelon and Rhodocrosite to help create a reservoir to help replenish surface moisture lost after dark. Plus our super hydrating formula helps lock in surface moisture and support skin’s natural nighttime self-repair ability. Skin looks radiant. Awakens refreshed, supple and comfortably hydrated.",,,1,,,50ml,0LA5010000,717334197879,,34,2,12,31467
51,Make A Difference™,Plus Rejuvenating moisturiser,,,,,,,"This rejuvenating moisturiser fortified with self-hydrating Rose of Jericho plus our Lychee and Watermelon hydra-sustain complex quenches deeper than ever before to help repair the natural moisture deficiency in dry, dehydrated skin. Clinically proven to instantly boost skin's moisture reservoir to keep it comfortably hydrated.",,,1,,,50ml,0JW2010000,717334179509,,34,2,11,23831
52,Make A Difference™,Plus Rejuvenating treatment lotion,,,,,,,This pre-moisturising treatment lotion fortified with self-hydrating Rose of Jericho plus our Lychee and Watermelon complex prepares skin for the intensive treatments to follow. Leaves skin feeling rejuvenated and hydrated.,,,1,,,150ml,0JW0010000,717334179486,,22,2,,27164
53,Make A Difference™,Plus Rejuvenating treatment,,,,,,,"Lightweight, oil-free rejuvenating treatment fortified with self-hydrating Rose of Jericho plus our Lychee and Watermelon hydra-sustain complex quenches deeper than ever before to help repair the natural moisture deficiency in dry, dehydrated skin. Clinically proven to instantly boost skin's moisture reservoir to keep it comfortably hydrated.",,,1,,,50ml,0JW1010000,717334179493,,34,2,10,23830
54,Make A Difference™,Plus Ultra-rich rejuvenating cream,,,,,,,"This ultra-rich cream fortified with self-hydrating Rose of Jericho plus our Lychee and Watermelon hydra-sustain complex quenches deeper than ever before to help repair the natural moisture deficiency in dry, dehydrated skin. Clinically proven to instantly boost very dry skin's moisture reservoir to keep it comfortably hydrated.",,,1,,,50ml,0JW3010000,717334179516,,34,2,11,23832
55,Make A Difference™,Rejuvenating cleansing milk ,,,,,,,"This silky cleansing milk with emollient-rich organic Olive Oil and Plant Glycerin instantly melts makeup, dirt and skin-damaging debris. Skin looks and feels clean, radiant, renewed and replenished.",,,1,,,150ml,0GA2010000,717334149496,,22,2,19,18447
56,Maskimizer™,Skin-optimising mask primer,,,,,,,"Take masking to the max! Priming mist with Marine Algae Complex helps hydrate, soften and optimise skin’s condition so it’s fully prepped to enhance your mask experience. Just a quick spritz gets skin primed. Ready to reach its most flawless potential.",,,1,,,95ml,0MP3010000,717334211711,,18.5,2,,39902
57,Modern Friction™,Nature's gentle dermabrasion,,,,,,,"Sand-blasting skin with coarse, chemical crystals? How painfully passe. Here's age-smoothing exfoliation without irritation. Skin-refining Rice Starch cushioned in cream, helps to rapidly remove sluggish cells, uneven patches and signs of skin damage and discolourations. Lemon Oil kick starts the process of illumination. Vitamin C helps mop up skin-menacing free radicals.
There's no ouch, extra steps or other complications. No redness or flaking follows. Signs of lines and size of pores appear to shrink. Origins Modern Friction™, helps skin look perfectly polished, smooth and luminous.",,,1,,,75ml,0HF3010000,717334160750,,23,2,6,18439
58,Never A Dull Moment™,Skin-brightening face polisher with fruit extracts,,,,,,,Smooth away bleak looking skin. Exfoliator with finely ground Apricot and Mango Seeds plus potent Papaya Extract dissolves lackluster cells with no irritating friction. Polishes skin to perfection. Leaves it beaming with youthful radiance.,,,1,,,125ml,0GWL010000,717334154414,,26,2,,11869
59,Night Health™,Bedtime Face Cream,,,,,,,"This rich, skin-rebuilding and recovery complex with Buckbean and St. Paul's Wort Extracts helps release tense-looking skin and visible lines while you sleep. Plus, Dr. Weil's proven, soothing blend of 100% natural Chamomile, Lavender and Mandarin essential oils soothes you into a restful slumber. Skin awakens refreshed, revitalised and radiant.",,,1,,,50ml,07AL010000,717334133457,,50,2,,11872
60,No Puffery™,Cooling roll-on for puffy eyes,,,,,,,Win the battle of the bags. This incredibly cooling roll on treatment with Yeast Extract instantly helps de-puff as it brightens dark circles. All while Hoelen Mushroom Extract helps calms skin to keep visible redness from settling in. ,,,1,,,15ml,0KJ6010000,717334188402,,25,2,9,26842
61,Original Skin™,Essence lotion with Duel Ferment Complex,,,,,,,"Boost glow. Up moisture. Refine the look of texture. And minimise the appearance of pores. All in one simple step. This potent, multi-tasking essence lotion is fortified with our dynamic Dual Ferment Complex to enhance our radiance-reviving blend of Willowherb and Persian Silk Tree. The weightless, oil-free texture provides lightweight hydration as it softens, refines and restores radiance. Skin looks instantly smoother, brighter, positively glowing.
",,,1,,,150ml,0MKP010000,717334210646,,22,2,10,40274
63,Original Skin™,Renewal serum with Willowherb,,,,,,,"Skin having a #QuarterLifeCrisis? What’s the deal with your skin lately? No glow? And those pores ... Not OK. Sounds like you’re facing quarter-life skin. But don’t worry. We’ve got you covered. Our revolutionary new serum restores glow 5 ways:#1: De-stress. Persian Silk Tree helps skin rebound. #2: Smooth roughness. Chestnut Seed Extract refines texture. #3: Delete dullness. Willowherb restores glow. #4: Shrink pores. Algae helps reduce oil to help them appear to vanish. #5: Minimize flaws. Blurs imperfections. Skin looks perfected, vibrant. Gets its’ glow back.",,,1,,,50ml,0LXJ010000,717334204683,,44,2,8,34736
64,Original Skin™,Retexturizing mask with Rose Clay,,,,,,,"Glow big with our innovative 2-in-1 mask! Made with Mediterranean Rose Clay, Canadian Willow Herb and exfoliating Jojoba beads, it helps gently deep clean while refining skins texture. Pores appear to vanish. Clarity is restored. Glow is instant.",,,1,,,100ml,0M0Y010000,717334205376,,24,2,7,36821
65,Out of Trouble®,10 minute mask to rescue problem skin,,,,,,," When skin is too-slic or when more pressing problems start to pop up, Origins is here to keep skin Out Of Trouble. Super-absorbent Zinc Oxide and Sulfur plus calming Camphor rapidly soak up oily-shine, slough off dead cells and sweep away debris. Together they steer skin clear of slippery situations, refine rough texture and pull the plug on troublemakers to help prevent potential outbursts.",,,1,,,100ml,00FY010000,717334041189,,24,2,7,10736
66,Plantscription™,Anti-aging cleanser,,,,,,,"This gentle foaming cleanser with Anogeissus plus Jasmine Flowers and conditioning Oat Protein helps dissolve dirt and impurities and release dead cells. Leaves skin looking radiant, smooth and youthfully alive.",,,1,,,150ml,0J2J010000,717334168800,,27,2,19,23001
67,Plantscription™,Anti-aging eye treatment,,,,,,,"Clinically proven to help visibly repair 4 major signs of eye ageing. Our eye treatment with potent Anogeissus helps visibly repair crow's feet, under eye cross hatching, crepey lids and sagginess. Without irritation. So you see a younger-looking you.",,,1,,,15ml,0J6Y010000,717334170797,,35,2,9,19623
68,Plantscription™,Anti-aging power eye cream,,,,,,,"See fewer lines in just 2 weeks. We powered up our most potent anti-ageing formula with legendary eye experts Chamomile and Algae. Now pumped up for fragile eye skin, this highly-hydrating cream absorbs instantly to help visibly reduce lines and wrinkles in just 2 weeks. With continued use, you’ll see sagging, crepey lids and crow’s feet appear to disappear.",,,1,,,15ml,0LG4010000,717334200104,,35,2,9,34350
69,Plantscription™,Anti-aging Power Serum,,,,,,,"This moisture-rich treatment lotion fortified with Anogeissus plus Jasmine Flowers and Caffeine helps restore smoothness, radiance and prepares skin to receive the anti-ageing benefits to follow.",,,1,,,150ml,0J2K010000,717334168817,,27.5,2,,23003
71,Plantscription™,Anti-aging Power Serum,,,,,,,"This power serum helps unlock a new path to visible wrinkle reduction. In just 2 weeks, this powerful age-fighting serum helps visibly improve lines and wrinkles. With continued use, it helps lift and firm to reveal a more youthful appearance. It’s clinically proven to help visibly reduce lines and wrinkles in just 2 weeks. Origins went around the world to power up our most potent anti-ager. It’s now formulated with a total of 20 targeted anti-ageing plant extracts including Anogeissus from Ghana, Bamboo and Pea Extract from Australia, Crithmum from France and Commiphora from India to name a few. And we used them to create our newest anti-ageing cocktail. Line-reducing cocktail helps rebuild a supportive network. Give skin resilient bounce to act like the box springs of a mattress. New plumping cocktails helps plump upper skin layers. Create a less wrinkled appearance at skin surface. Boost skin density to act like the pillow top of a mattress.",,,1,,,50ml,0LA1010000,717334197800,,64,2,8,31462
72,Plantscription™,Powerful lifting cream,,,,,,,"Don't let birthdays and gravity drag your skin down! We've amplified the amazing benefits of Anogeissus rare, revolumizing Commiphora mukul. This cutting edge cream visibly helps pick-up sagging contours, soften marionette lines around the mouth and restore youthful volume and firmness in just 2 weeks. All as it infuses skin with age-correcting moisture. Suddenly skin is looking up, up, up!",,,1,,,50ml,0L07010000,717334193253,,52,2,11,29359
73,Plantscription™,Powerful lifting neck & décolleté treatment ,,,,,,,"We’ll do the heavy lifting for you! 
Our potent hydrating neck & décolleté treatment with Anogeissus, Crithmum and Arabica Seed and Bamboo Extracts helps visibly lift, firm and re-contour. Plus helps diminish the appearance of age spots for a brighter, more youthfully smooth looking neckline.",,,1,,,50ml,0MH5010000,717334209800,,52,2,11,39815
74,Plantscription™,Powerful Lifting Overnight Mask,,,,,,,"Luxurious, fast-absorbing gel-cream mask. Formulated with potent Anogeissus and Commiphora, plus our new patent-pending lifting complex with Red Algae and Sweet Almond Extract,it pampers as it helps visibly plump, lift and firm. Overnight, a more youthful structure is restored. Skin wakes looking tighter, feeling fuller and firmer. ",,,1,,,75ml,0MW7010000,717334212688,,52,2,7,39515
75,Plantscription™,SPF 25 Power anti-aging cream,,,,,,,"Now look younger, longer. Our potent anti-ageing cream with Anogeissus is newly infused with Dill Seed Extract to help bring back a look of elasticity, plus anti-ageing Cassia alata. It helps restore a youthful-looking structure, improve the appearance of lines and wrinkles and revive a look of bounce. Delivers renewing moisture plus UV protection to help reduce the appearance of future signs of aging. The result—a more lasting youthful appearance.",,,1,,,50ml,0LR5010000,717334203624,,48,2,11,42204
